id,description
1025794,Boeing 707
1340192,Boeing 707
0056978,Boeing 707
0698580,Boeing 707
0450014,Boeing 707
1042824,Boeing 707
0894380,Boeing 707
1427680,Boeing 707
0817494,Boeing 707
0716386,Boeing 707
0951982,Boeing 707
0731614,Boeing 707
0582363,Boeing 707
1082409,Boeing 707
2031775,Boeing 707
0950991,Boeing 707
0869722,Boeing 707
0979376,Boeing 707
1002439,Boeing 707
0864665,Boeing 707
1207591,Boeing 707
0582372,Boeing 707
0729223,Boeing 707
1319365,Boeing 707
0548719,Boeing 707
0577855,Boeing 707
1423583,Boeing 707
1187431,Boeing 707
0610657,Boeing 707
0869742,Boeing 707
0687610,Boeing 707
1042021,Boeing 707
0482761,Boeing 707
0064933,Boeing 707
1019011,Boeing 727
0732456,Boeing 727
0218039,Boeing 727
2223757,Boeing 727
0983618,Boeing 727
1327285,Boeing 727
0065840,Boeing 727
0980196,Boeing 727
0995286,Boeing 727
1514487,Boeing 727
0213505,Boeing 727
1459191,Boeing 727
1063986,Boeing 727
0056337,Boeing 727
0409532,Boeing 727
0771164,Boeing 727
0632010,Boeing 727
0901504,Boeing 727
0063052,Boeing 727
0143080,Boeing 727
1089989,Boeing 727
0907359,Boeing 727
0875281,Boeing 727
1197395,Boeing 727
1149060,Boeing 727
1059846,Boeing 727
0786258,Boeing 727
1512865,Boeing 727
0523223,Boeing 727
1115308,Boeing 727
1739565,Boeing 727
0994986,Boeing 727
0193983,Boeing 727
0822348,Boeing 737
1152739,Boeing 737
0907429,Boeing 737
0209554,Boeing 737
1187709,Boeing 737
0847273,Boeing 737
0923506,Boeing 737
0059101,Boeing 737
1548405,Boeing 737
0438655,Boeing 737
0921022,Boeing 737
1094669,Boeing 737
0198443,Boeing 737
0851647,Boeing 737
0247942,Boeing 737
0564495,Boeing 737
0826475,Boeing 737
0065422,Boeing 737
1189268,Boeing 737
0054367,Boeing 737
1918572,Boeing 737
0337947,Boeing 737
1143132,Boeing 737
0789826,Boeing 737
1942698,Boeing 737
0458661,Boeing 737
0447807,Boeing 737
0074464,Boeing 737
1296896,Boeing 737
0056331,Boeing 737
0592977,Boeing 737
0610653,Boeing 737
0523229,Boeing 737
1899111,Boeing 737
0069776,Boeing 737
0569402,Boeing 737
1538841,Boeing 737
0830001,Boeing 737
1323729,Boeing 737
0799595,Boeing 737
1110775,Boeing 737
1393334,Boeing 737
0728390,Boeing 737
0907408,Boeing 737
1396876,Boeing 737
0492497,Boeing 737
0097935,Boeing 737
1691783,Boeing 737
0278443,Boeing 737
0090868,Boeing 737
1927313,Boeing 737
0178292,Boeing 737
0114409,Boeing 737
0986161,Boeing 737
1295999,Boeing 737
1879894,Boeing 737
1564774,Boeing 737
0097577,Boeing 737
0074247,Boeing 737
2115318,Boeing 737
0687267,Boeing 737
0748299,Boeing 737
1251289,Boeing 737
1560581,Boeing 737
0848057,Boeing 737
0066279,Boeing 737
2080684,Boeing 737
1102458,Boeing 737
1906287,Boeing 737
0438658,Boeing 737
1368847,Boeing 737
1871885,Boeing 737
2236962,Boeing 737
1846193,Boeing 737
1702255,Boeing 737
0420818,Boeing 737
2186493,Boeing 737
0127627,Boeing 737
0699596,Boeing 737
2117477,Boeing 737
2031382,Boeing 737
1532634,Boeing 737
2244446,Boeing 737
0242845,Boeing 737
2026894,Boeing 737
1059090,Boeing 737
1398863,Boeing 737
